iter	MAE
0	656.4092037
1	641.1836215
2	625.3689694
3	613.0047211
4	599.4324608
5	585.9587011
6	573.5576101
7	560.4296869
8	549.3270659
9	537.8147864
10	526.5668554
11	516.4194126
12	505.0559614
13	494.3236043
14	484.3198621
15	476.0110009
16	464.8504285
17	455.4197862
18	446.7415007
19	438.4016837
20	429.6454477
21	420.5874764
22	414.4564769
23	406.9387657
24	399.9282355
25	393.2437769
26	386.9287759
27	380.1896933
28	373.9518878
29	368.0141182
30	362.3634791
31	357.2581153
32	351.9250142
33	347.5609682
34	343.2913955
35	338.8123974
36	334.9440521
37	330.1119881
38	325.8547756
39	321.8346774
40	317.6648444
41	313.3378527
42	309.6402811
43	306.6829248
44	303.7317388
45	300.103554
46	297.2820671
47	294.5396678
48	291.307248
49	288.8152948
50	286.261924
51	283.4235658
52	280.9913437
53	278.5469578
54	276.4655616
55	274.0943415
56	271.897521
57	270.1541398
58	268.3132912
59	266.3612493
60	264.5232741
61	262.8834942
62	261.3173223
63	259.8687444
64	258.115351
65	256.7234295
66	255.5336159
67	254.0755976
68	252.6792181
69	251.5815622
70	250.3791079
71	249.2673554
72	248.1406467
73	247.0208164
74	245.9970924
75	244.9455269
76	243.9280363
77	242.90198
78	241.7691267
79	241.4653249
80	240.8238396
81	240.0584393
82	239.3922146
83	238.6301726
84	237.5861959
85	236.8114436
86	236.0498868
87	235.3093517
88	234.6787798
89	234.2672987
90	233.5025764
91	233.0123837
92	232.4922186
93	232.0366592
94	231.7853015
95	231.4226434
96	230.8523666
97	230.0821554
98	229.660361
99	229.2660638
100	228.853208
101	228.8093958
102	228.2458157
103	227.8540787
104	227.4589331
105	226.990865
106	226.819146
107	226.7542425
108	226.4511694
109	226.2996464
110	225.9092076
111	225.8307381
112	225.4224179
113	225.3470481
114	224.9984414
115	224.6847953
116	224.5880271
117	224.5750853
118	224.4849904
119	224.147676
120	223.9365834
121	223.7720301
122	223.7618919
123	223.7205089
124	223.7000823
125	223.6653753
126	223.6509911
127	223.6121744
128	223.4521604
129	223.2054268
130	222.9432168
131	222.8374616
132	222.4119293
133	222.162419
134	222.0102232
135	221.853091
136	221.6667666
137	221.5277311
138	221.4359805
139	221.3259627
140	221.1948737
141	221.0194476
142	220.9905747
143	220.9329011
144	220.9269259
145	220.9189869
146	220.8816865
147	220.6522342
148	220.5787434
149	220.5271826
150	220.4913584
151	220.2599323
152	220.1195866
153	220.0363329
154	219.96709
155	219.9188728
156	219.6627782
157	219.4975944
158	219.4060247
159	219.2064808
160	218.9991378
