iter	Passed	Remaining
0	17	89727
1	68	171658
2	87	145379
3	106	132693
4	124	124754
5	163	136050
6	183	131081
7	203	127118
8	227	126176
9	266	132744
10	316	143525
11	358	149140
12	375	144153
13	393	140213
14	410	136385
15	425	132437
16	457	134005
17	477	132069
18	514	134779
19	534	132971
20	573	136084
21	594	134543
22	609	131947
23	633	131402
24	673	134082
25	687	131437
26	729	134316
27	749	133117
28	785	134697
29	822	136247
30	853	136790
31	874	135753
32	911	137202
33	927	135398
34	961	136391
35	1008	139026
36	1022	137132
37	1067	139327
38	1102	140267
39	1141	141560
40	1154	139591
41	1180	139340
42	1203	138733
43	1229	138436
44	1247	137411
45	1276	137440
46	1292	136235
47	1305	134651
48	1320	133396
49	1352	133904
50	1367	132659
51	1402	133446
52	1417	132265
53	1440	131966
54	1475	132654
55	1491	131663
56	1506	130624
57	1519	129491
58	1562	130859
59	1575	129701
60	1589	128706
61	1621	129183
62	1635	128130
63	1658	127926
64	1681	127664
65	1692	126509
66	1717	126442
67	1730	125482
68	1743	124591
69	1777	125211
70	1823	126591
71	1837	125779
72	1853	125102
73	1890	125848
74	1901	124884
75	1918	124307
76	1932	123543
77	1984	125254
78	2003	124770
79	2027	124701
80	2054	124776
81	2066	123943
82	2082	123395
83	2158	126322
84	2206	127581
85	2248	128480
86	2319	130987
87	2371	132393
88	2408	132919
89	2484	135551
90	2510	135425
91	2527	134826
92	2573	135799
93	2596	135525
94	2643	136512
95	2661	135982
96	2674	135193
97	2700	135091
98	2712	134271
99	2724	133497
100	2750	133415
101	2763	132698
102	2775	131937
103	2800	131846
104	2819	131445
105	2834	130868
106	2847	130218
107	2916	132115
108	2933	131637
109	2947	131042
110	2973	130968
111	2990	130517
112	3004	129926
113	3071	131630
114	3097	131560
115	3113	131076
116	3138	130998
117	3150	130356
118	3165	129838
119	3181	129361
120	3191	128688
121	3205	128156
122	3221	127735
123	3246	127647
124	3286	128161
125	3318	128352
126	3336	128034
127	3349	127493
128	3375	127444
129	3396	127238
130	3409	126736
131	3445	127050
132	3458	126559
133	3495	126925
134	3532	127288
135	3548	126918
136	3562	126466
137	3600	126849
138	3632	127045
139	3645	126546
140	3688	127117
141	3721	127304
142	3735	126880
143	3767	127043
144	3795	127076
145	3808	126632
146	3825	126295
147	3848	126166
148	3860	125674
149	3874	125286
150	3886	124791
151	3898	124343
152	3922	124254
153	3935	123831
154	3950	123495
155	3972	123355
156	4028	124283
157	4054	124255
158	4071	123956
159	4093	123816
160	4111	123563
