,ds,absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,is_estimated,y,location
28657,2022-11-01 22:00:00,6.9,1.2227501,7066.7,0.0,0.0,523.95,0.0,278.6,0.0,0.0,0.0,0.0,63.075,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.375,0.0,0.0,987.025,992.975,0.0,0.0,63.575,998.975,,0.0,0.0,0.0,0.075,347.72525,-40.37775,0.0,285.6,99.85,54554.85,3.925,1,0.0,A
28629,2022-10-31 16:00:00,7.3500004,1.25375,1704.05,424.6,0.0,1595.775,0.0,279.4,0.0,815.1,0.0,0.0,94.975,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010.85,0.0,0.0,998.175,1004.3,0.0,0.0,88.649994,1010.45,,0.0,0.0,0.0,0.0,254.92224,-8.20775,0.0,282.3,95.075,38500.977,1.1,1,0.0,A
28656,2022-11-01 21:00:00,6.9,1.2235,6008.6,0.0,0.0,421.1,0.0,278.6,0.0,0.0,0.0,0.0,84.625,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.45,0.0,0.0,987.0,992.95,0.0,0.0,66.65,998.925,,0.0,0.0,0.0,0.425,329.18274,-37.91875,0.0,285.2,100.0,54182.2,4.4,1,0.0,A
28567,2022-10-29 00:00:00,8.15,1.22975,1882.0,0.0,0.0,1675.05,1.0,280.925,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.975,0.11749999,1.0,984.425,990.425,0.0,0.2,89.2,996.475,,0.0,0.0,0.0,1.175,24.241001,-38.0405,0.2,283.875,100.0,3240.425,1.5,1,0.0,A
28568,2022-10-29 01:00:00,8.2,1.2285,1622.4,0.0,0.0,1547.55,1.0,281.05,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.35,0.1,1.0,983.85,989.85,0.0,0.22500001,90.175,995.85,,0.0,0.0,0.0,0.875,41.83075,-34.3905,0.25,284.35,100.0,3243.5,1.575,1,0.0,A
28607,2022-10-30 17:00:00,5.8500004,1.271,,0.0,0.0,3199.7,0.75,275.925,0.0,0.0,0.0,0.0,17.525,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1009.95,0.0,0.0,997.325,1003.5,0.075,0.0,91.125,1009.725,,0.0,0.0,0.0,0.0,268.3495,-14.53575,0.0,280.0,17.525,35879.773,1.925,1,0.0,A
28599,2022-10-30 09:00:00,6.125,1.2592499,8655.225,273572.0,126.425,5738.225,0.0,276.725,63.625,156292.3,41.65,86247.9,66.225,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1013.55,0.0,0.0,1000.57495,1006.725,0.0,0.0,83.65,1012.92505,,0.0,0.0,0.0,0.0,155.1575,10.373,0.0,278.575,98.175,48014.348,1.0,1,437.58,A
28596,2022-10-30 05:00:00,5.55,1.27825,1083.3,0.0,0.0,711.95,0.0,275.15,0.0,0.0,0.0,0.0,69.325,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.05,0.0,0.0,1001.2,1007.4,0.0,0.0,84.0,1013.675,,0.0,0.0,0.0,0.0,100.321,-10.195499,0.0,277.65,69.7,34609.0,0.975,1,0.0,A
28652,2022-11-01 17:00:00,6.5,1.22975,3671.875,0.0,0.0,261.475,0.0,277.8,0.0,0.0,0.0,0.0,99.825,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.15,0.0,0.0,988.55,994.55,0.0,0.0,68.975,1000.55,,0.0,0.0,0.0,0.1,268.059,-15.12275,0.1,283.5,100.0,54615.7,3.5,1,0.0,A
28588,2022-10-29 21:00:00,5.5,1.2674999,979.125,0.0,0.0,674.2,0.0,275.15002,0.0,0.0,0.0,0.0,89.775,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.7,0.0,0.0,1001.8,1008.0,0.0,0.0,74.075,1014.2,,0.0,0.0,0.0,0.0,329.42926,-36.95775,0.0,278.425,89.775,50213.023,1.7,1,0.0,A
28670,2022-11-02 12:00:00,8.275,1.2235,7111.225,538562.8,125.200005,1721.85,0.0,281.32498,57.775,220851.6,53.125,191754.5,66.525,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1001.775,0.0,0.0,989.15,995.125,0.0,0.0,77.375,1001.15,,0.0,0.0,0.0,0.0,199.603,10.2994995,0.0,285.0,86.775,50529.523,0.6,1,580.3600000000001,A
28660,2022-11-02 01:00:00,7.05,1.227,,0.0,0.0,334.225,0.0,278.9,0.0,0.0,0.0,0.0,65.325,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.05,0.0,0.0,986.7,992.675,0.0,0.0,67.025,998.675,,0.0,0.0,0.0,0.0,42.3655,-35.61475,0.0,285.8,65.325,53782.15,1.6,1,0.0,A
28622,2022-10-31 09:00:00,7.375,1.24425,,256902.8,120.8,,0.0,279.5,44.0,124349.1,84.375,140767.1,2.425,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1009.15,0.0,0.0,996.3,1002.375,0.0,0.0,88.525,1008.5,,0.0,0.0,0.0,0.0,155.23325,10.054501,0.0,281.95,2.425,41296.8,1.0,1,577.72,A
28579,2022-10-29 12:00:00,5.2,1.244,8530.5,626489.8,148.65,1384.8,0.0,274.525,54.225,258840.7,96.125,232824.1,29.3,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1009.175,0.0,0.0,996.15,1002.25,0.0,0.0,60.25,1008.35,,0.0,0.0,0.0,0.0,199.7675,11.58975,0.0,280.3,36.0,58714.824,4.4,1,1154.7800000000002,A
28614,2022-10-31 00:00:00,6.0,1.26025,6599.1,0.0,0.0,2390.625,0.0,276.32498,0.0,0.0,0.0,0.0,85.475,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1008.0,0.0,0.0,995.25,1001.35,0.0,0.0,80.1,1007.55,,0.0,0.0,0.0,0.0,24.432251,-38.680748,0.0,280.1,99.35,43629.1,1.75,1,0.0,A
28590,2022-10-29 23:00:00,5.525,1.2722499,1160.0,0.0,0.0,1145.1749,0.0,275.17502,0.0,0.0,0.0,0.0,52.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.8,0.0,0.0,1002.0,1008.2,0.0,0.0,74.0,1014.42505,,0.0,0.0,0.0,0.0,96.794754,-39.7145,0.0,278.4,52.375,46692.7,1.4,1,0.0,A
28637,2022-11-01 00:00:00,6.0,1.2705,8119.625,0.0,0.0,4851.0,1.0,276.3,0.0,0.0,0.0,0.0,48.625,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1012.07495,0.0,0.0,999.4,1005.6,0.0,0.0,87.1,1011.8,,0.0,0.0,0.0,0.0,24.522,-38.99625,0.0,280.025,93.65,41546.375,1.3499999,1,0.0,A
28573,2022-10-29 06:00:00,8.05,1.231,1107.75,0.0,0.0,399.125,0.0,280.75,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.05,0.0375,0.25,987.375,993.4,0.0,0.05,92.0,999.45,,0.0,0.0,0.0,0.1,113.41,-3.4950001,0.32500002,281.95,100.0,9446.074,4.7,1,0.0,A
28625,2022-10-31 12:00:00,8.4,1.239,2010.95,581710.7,136.675,1802.275,0.0,281.425,52.125,229337.2,12.575,180263.5,97.7,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1009.675,0.0,0.0,996.925,1002.975,0.0,0.0,87.65,1009.05,,0.0,0.0,0.0,0.0,199.69,10.936251,0.1,282.6,98.8,37503.824,0.55,1,566.72,A
28666,2022-11-02 08:00:00,7.45,1.2275,7620.125,50056.7,55.575,724.425,0.25,279.75,30.550001,39779.7,31.9,31796.7,55.875,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1001.05,0.0,0.0,988.45,994.45,0.0,0.0,76.725,1000.45,,0.0,0.0,0.0,0.0,141.132,5.9014997,0.0,284.82498,87.65,51425.824,1.775,1,313.71999999999997,A
28593,2022-10-30 02:00:00,5.25,1.2822499,10090.0,0.0,0.0,2139.475,0.0,274.32498,0.0,0.0,0.0,0.0,30.05,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.2,0.0,0.0,1001.4,1007.65,0.0,0.0,80.8,1013.9,,0.0,0.0,0.0,0.0,58.1565,-29.567501,0.0,277.2,44.699997,40874.1,1.75,1,0.0,A
28627,2022-10-31 14:00:00,7.875,1.245,1607.6,277910.4,28.45,1520.175,0.0,280.45,15.05,115066.8,7.2,49054.1,51.35,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1010.3,0.0,0.0,997.5,1003.575,0.0,0.0,88.4,1009.7,,0.0,0.0,0.0,0.0,228.13324,3.49475,0.0,282.425,51.35,39129.75,1.0,1,54.779999999999994,A
28572,2022-10-29 05:00:00,8.5,1.2260001,848.6,0.0,0.0,446.4,0.0,281.625,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.425,0.1825,1.0,985.8,991.8,0.0,0.22500001,91.6,997.825,,0.0,0.0,0.0,0.6,100.15575,-9.907,0.22500001,283.025,100.0,3682.4502,5.6,1,0.0,A
28617,2022-10-31 03:00:00,6.3,1.25875,3485.625,0.0,0.0,1831.45,0.0,277.05,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1008.225,0.105000004,1.0,995.42505,1001.55,0.0,0.1,85.5,1007.725,,0.0,0.0,0.0,0.875,73.1935,-23.75975,0.2,279.15002,100.0,15308.75,0.925,1,0.0,A
28619,2022-10-31 05:00:00,6.55,1.2595,1923.775,0.0,0.0,1227.525,0.0,277.6,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1008.325,0.0,0.0,995.525,1001.675,0.0,0.1,91.575,1007.825,,0.0,0.0,0.0,0.35,100.482,-10.4817505,0.125,279.225,100.0,5531.95,2.025,1,0.0,A
28648,2022-11-01 13:00:00,7.0,1.235,9118.55,451870.0,79.75,1818.6001,0.0,278.8,49.025,227307.7,28.025,197215.3,63.050003,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1004.675,0.0,0.0,991.94995,997.975,0.0,0.0,77.25,1004.05005,,0.0,0.0,0.0,0.0,214.07774,7.5885,0.0,282.6,97.3,40403.1,3.55,1,491.7,A
28582,2022-10-29 15:00:00,5.275,1.2555,1240.7,102592.2,1.5,1008.55,0.0,274.625,0.925,60040.8,0.0,58869.7,90.525,6.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1011.775,0.0,0.0,998.9,1005.0,0.0,0.0,65.075005,1011.2,,0.0,0.0,0.0,0.0,241.90475,-1.37325,0.0,279.85,90.8,55354.45,3.525,1,3.08,A
28640,2022-11-01 03:00:00,6.0,1.2674999,8020.75,0.0,0.0,7713.9253,1.0,276.2,0.0,0.0,0.0,0.0,50.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1011.4,0.0,0.0,998.675,1004.85,0.0,0.0,85.45,1011.05,,0.0,0.0,0.0,0.0,73.3575,-24.04625,0.0,279.425,100.0,44219.8,1.75,1,0.0,A
28584,2022-10-29 17:00:00,5.3,1.26075,1149.45,0.0,0.0,847.6,0.0,274.7,0.0,0.0,0.0,0.0,97.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1013.125,0.0,0.0,1000.3,1006.425,0.0,0.0,68.225,1012.6,,0.0,0.0,0.0,0.0,268.49274,-14.2355,0.1,279.225,97.9,52034.926,2.95,1,0.0,A
